#separator:tab
#html:false
go-ahead   /ˈɡoʊ əhed/          n.前进，进步；放行信号adj.前进着的前进着的 30%，放行信号 30%，前进 20%，进步 20%词性：名词 58%, 形容词 42%	go-ahead  /ˈɡoʊ əhed/       n.前进，进步；放行信号adj.前进着的前进着的 30%，放行信号 30%，前进 20%，进步 20%词性：名词 58%, 形容词 42%                                go-ahead
endometrial   /endʌˈmetrɪəl/          adj.[解剖] 子宫内膜的子宫内膜的 100%	endometrial  /endʌˈmetrɪəl/       adj.[解剖] 子宫内膜的子宫内膜的 100%                       adjectiveuk/ˌen.dəʊˈmiː.tri.əl/ us/ˌen.doʊˈmiː.tri.əl/ specialized  relating to the endometrium (= the lining of the uterus)子宫内膜的 endometrial biopsy/cancer/polyp子宫内膜活组织检查/子宫内膜癌/子宫内膜息肉          endometrial
well-paid   /ˌwel ˈpeɪd/          adj.待遇优厚的；收入高的报酬优厚的 75%，高薪的 25%	well-paid  /ˌwel ˈpeɪd/       adj.待遇优厚的；收入高的报酬优厚的 75%，高薪的 25%                                well-paid
ladylike   /ˈleɪdilaɪk/          adj.如淑女的；娴淑高贵的娴淑的 35%，如贵妇的 26%，如淑女的 26%，文雅的 13%	"ladylike  /ˈleɪdilaɪk/       adj.如淑女的；娴淑高贵的娴淑的 35%，如贵妇的 26%，如淑女的 26%，文雅的 13%                       adjectiveuk/ˈleɪ.di.laɪk/ us/ˈleɪ.di.laɪk/ old-fashioned  graceful, polite, and behaving in a way that is thought to be socially acceptable for a woman端庄的，淑女似的，温文尔雅的 Well, it might not be ladylike but I'm going to pull my skirt up to get over this fence.也许这样做会有损于淑女形象，但我还是准备提起裙子翻过这道栅栏。 Oppositeunladylike       Behavior that seems appropriate for a polite, civilized girl or woman is sometimes called ladylike. A little girl might be scolded for not having ladylike manners if she puts her feet up on the table at a fancy restaurant.The adjective ladylike is an old-fashioned way to describe how a dignified or ""proper"" woman acts. Your grandmother might praise your best friend's ladylike demeanor, not knowing that in her spare time she drives a demolition derby car and is usually covered with mud. Before ladylike was first used in the sixteenth century, the equivalent adjective was ladily.ladylike: ladylikeness, ladylikest, unladylike/forelady: foreladies/lady: forelady, ladies, ladylike    ladylike"
washroom   /ˈwɑːʃruːm/          n.洗手间；盥洗室；厕所厕所 56%，盥洗室 44%	washroom  /ˈwɑːʃruːm/       n.洗手间；盥洗室；厕所厕所 56%，盥洗室 44%           Excuse me, I have to go to the washroom, I'll be out in a minute.不好意思我想用一下洗手间，马上就好！            noun [ C ]uk/ˈwɒʃ.ruːm/ /ˈwɒʃ.rʊm/ us/ˈwɑːʃ.ruːm/ /ˈwɑːʃ.rʊm/ US  a room with a toilet and a place to wash your hands in it, in a public place such as a restaurant or school厕所，洗手间          washroom
gridiron   /ˈɡrɪdaɪərn/          n.烤架；格状物；橄榄球场烤架 64%，橄榄球场 36%	gridiron  /ˈɡrɪdaɪərn/       n.烤架；格状物；橄榄球场烤架 64%，橄榄球场 36%           You can broil meat on a gridiron.你可以在铁架上烤肉。      →记1: gridiron→grid(n. 格栅)+iron(n. 铁)→格状物 →参考: grille(n. 格子；铁格子) grid, 炉栅, 网格, 词源同 grate. iron, 铁.【记】grid（n.格子；烤架），iron（n.铁）－烤架      noun [ C ]uk/ˈɡrɪd.aɪən/ us/ˈɡrɪd.aɪrn/ US  a field painted with lines for American football（标有平行线的）美式橄榄球球场       A gridiron is a metal grill used for cooking food over a fire. Don't throw your burgers on your friend's gridiron if she's a strict vegetarian!Just as the word implies, a gridiron is a grid, or two crossed sets of parallel bars, made of iron (or another kind of metal). In addition to cooking gridirons, there are also gridirons that support heavy equipment on film sets. In sports, gridiron is another name for an American football field, marked off in grid-like yard lines. Gridiron shares a Latin root with griddle.gridiron: gridirons   gridiron
inhumanity   /ˌɪnhjuːˈmænəti/          n.不人道，无人性；残暴不人道 56%，残暴 44%	inhumanity  /ˌɪnhjuːˈmænəti/       n.不人道，无人性；残暴不人道 56%，残暴 44%                 in-, 不, 非, humanity, 人性, 人道.      noun [ U ]uk/ˌɪn.hjuːˈmæn.ə.ti/ us/ˌɪn.hjuːˈmæn.ə.t̬i/   extremely cruel behaviour残酷，野蛮 They were accused of inhumanity in their treatment of the hostages.他们被指控虐待人质。          inhumanity
jibe   /dʒaɪb/          vt.嘲笑；嘲弄；符合；相一致；vi.（=gibe）讥笑﹑ 嘲弄n.嘲弄; 嘲讽v.(=gybe) 顺风时将船帆自一舷转向另一舷以改变方向.时态:jibed, jibing, jibes嘲笑 58%，嘲弄 36%，相一致 6%词性：动词 67%, 名词 33%	jibe  /dʒaɪb/       vt.嘲笑；嘲弄；符合；相一致；vi.（=gibe）讥笑﹑ 嘲弄n.嘲弄; 嘲讽v.(=gybe) 顺风时将船帆自一舷转向另一舷以改变方向.时态:jibed, jibing, jibes嘲笑 58%，嘲弄 36%，相一致 6%词性：动词 67%, 名词 33%           All these nasty jibes about my haircut are getting really old.所有这些关于我的发型的讨厌的嘲讽都变得非常老套。      →记1: jibe→job(n. 工作)→这种行为与工作相一致 →参考: tally(v. 使一致)来自 gibe 拼写变体, 可能来自中古法语 gaber, 嘲笑, 嘲讽, 拟声词, 词源同 gab, jape. jibe 一致, 相符【例】His words and action don't jibe.他的言行不一。 【记】这是一个很容易想的单词，自己搞定吧！ 【类】cheer:encourage＝jibe:deride   欢呼就是鼓舞＝嘲笑就是嘲笑 【反】conflict（n./v.斗争；冲突）      noun [ C ]also gibe uk/dʒaɪb/ us/dʒaɪb/   an insulting remark that is intended to make someone look stupid嘲讽话 Unlike many other politicians, he refuses to indulge in cheap jibes at other people's expense.与许多其他政治家不同，他从不对他人滥加嘲讽。  verb [ I ]uk/dʒaɪb/ us/dʒaɪb/   to make insulting remarks that are intended to make someone look stupid嘲讽，嘲弄，嘲笑 She jibed constantly at the way he ran his business.她不断嘲笑他的经营方式。 Phrasal verb(s)jibe with sth      To jibe with someone is to agree with them. Jibe can also mean “be compatible with or similar to.” If two people jibe, they get along quite well.A jibe can also be an insulting remark as another way to spell gibe. If someone directs that kind of jibe at you, the best response is a really good comeback. And in nautical terminology, jibe refers to a particular manner of changing the course of a ship. How did this word come to have such different meanings? Your guess is as good as ours. Just try to remember that if you want to jibe with others, don’t insult them.jibe: jibed, jibes, jibing   jibe
asexual   /ˌeɪˈsekʃuəl/          adj.[生物] 无性的；无性生殖的无性生殖的 52%，无性的 48%	asexual  /ˌeɪˈsekʃuəl/       adj.[生物] 无性的；无性生殖的无性生殖的 52%，无性的 48%                       adjectiveuk/ˌeɪˈsek.ʃu.əl/ us/ˌeɪˈsek.ʃu.əl/   without sex or sexual organs无性的；无性器官的 having no interest in sexual relationships性冷淡的；无性欲的 I must say I've always found him rather asexual.我得说，我一直觉得他有些性冷淡。          asexual
glob   /ɡlɑːb/          n.一滴；水珠；一团一滴 87%，小滴水珠 13%	glob  /ɡlɑːb/       n.一滴；水珠；一团一滴 87%，小滴水珠 13%                 来自 glebh, 球体, 成球状, 词源同 cling, glue.      noun [ C ]uk/ɡlɒb/ us/ɡlɑːb/ informal  a round mass of a thick liquid or a sticky substance一滴，一团（粘或稠的东西） a glob of ketchup/yogurt一滴西红柿酱／酸奶       A glob is a shapeless clump or hunk of something. Even the most skilled potter starts out with nothing but a glob of damp clay on her pottery wheel.Globs are soft, squishy, or partly liquid substances — you can't really have a glob of pizza, but you can add a glob of melty mozzarella to the top of a pizza. An artist drops globs of oil paint on her palette, and a chocolate maker fills molds with globs of warm melted chocolate. While we know glob first appeared in print around 1900, its origin isn't clear. It may have imitated words like blob and gob.glob: globs   glob
perinatal   /ˌperɪˈneɪtl/          adj.围产期的，出生前后的围产期的 70%，出生前后的 30%	perinatal  /ˌperɪˈneɪtl/       adj.围产期的，出生前后的围产期的 70%，出生前后的 30%                 peri-, 在附近, natal, 出生的.      adjectiveuk/ˌper.ɪˈneɪ.təl/ us/ˌper.ɪˈneɪ.təl/ specialized  relating to the period before and soon after birth产期前后的，围产期的          perinatal
professorial   /ˌproʊfəˈsɔːriəl; ˌprɑːfəˈsɔːriəl/          adj.教授的；学者派头的；教授似的教授的 56%，学者气派的 28%，装做教授的 16%	"professorial  /ˌproʊfəˈsɔːriəl; ˌprɑːfəˈsɔːriəl/       adj.教授的；学者派头的；教授似的教授的 56%，学者气派的 28%，装做教授的 16%                       adjectiveuk/ˌprɒf.əˈsɔː.ri.əl/ us/ˌprɑː.fəˈsɔːr.i.əl/ formal  of or like a professor教授的；教授似的 He retains an almost professorial air.他看起来颇有些教授的风度。       When something is related to college professors — or reminds you of a professor — it's professorial. If you wear tweed blazers and tiny round glasses, someone might say you have a professorial clothing style.A professorial sabbatical is a fancy name for a year that a professor takes off work to travel, do research, or write a book. And a professorial position might be ""instructor"" or ""assistant professor."" Many people also think of things like eyeglasses, tweed jackets with elbow patches, and offices in buildings covered in ivy as being professorial. The word stems from the Latin professor, ""person who professes to be an expert.""professorial: professorially/professor: professorial, professors, professorship/professorship: professorships    professorial"
receding    /rɪˈsid/           vi.后退；减弱vt.归还原型:receding 是 recede 的现在分词后退 51%，减弱 35%，撤回 14%	"receding   /rɪˈsid/        vi.后退；减弱vt.归还原型:receding 是 recede 的现在分词后退 51%，减弱 35%，撤回 14%                             Anything that's receding is fading or moving backwards. A receding shoreline often forms around a lake during a drought — as the lake grows smaller, the edge of the shore slowly moves back.You'll often find the adjective receding describing a man's hair in the process of very gradually going bald: ""He's a tall guy with a receding hairline and glasses."" As a noun, receding means a quality or act of disappearing or fading away. The receding of your childhood home in the rearview mirror is a good metaphor for growing up and moving on.recede: receded, recedes, receding, recession/cede: ceded, cedes, ceding, cession, recede/cession: cessions/recession: recessional, recessions/recessional: recessionals    receding"
earbud   /ˈɪrbʌd/          n.耳塞	earbud  /ˈɪrbʌd/       n.耳塞                                earbud
optimistically   /ˌɑːptɪˈmɪstɪkli/          adv.乐观地；乐天地乐观地 100%	optimistically  /ˌɑːptɪˈmɪstɪkli/       adv.乐观地；乐天地乐观地 100%                                optimistically
one-woman   /ˌwʌn ˈwʊmən/          adj.唱女独脚戏的只有女性的 100%	one-woman  /ˌwʌn ˈwʊmən/       adj.唱女独脚戏的只有女性的 100%                       adjective [ before noun ]uk/ˈwʌnˌwʊm.ən/ us/ˈwʌnˌwʊm.ən/   used to describe a performance or show of artistic works by just one woman单名女性演出的，单名女性展示的 She will be exhibiting her paintings in a new one-woman show at a local art gallery.她会在当地画廊作单人展览。          one-woman
cornice   /ˈkɔːrnɪs/          n.檐口，飞檐vt.装檐口时态:corniced, cornicing, cornices飞檐 89%，给 ... 装上檐口 11%	cornice  /ˈkɔːrnɪs/       n.檐口，飞檐vt.装檐口时态:corniced, cornicing, cornices飞檐 89%，给 ... 装上檐口 11%                 词源可能同 crown, 花冠, 因形似花冠而得名.【记】corn角，nice好：把墙角装饰的特别好，不过要记住，这里的墙角是天花板与墙形成的角。      noun [ C ]uk/ˈkɔː.nɪs/ us/ˈkɔːr.nɪs/   a decorative border found where the ceiling meets the walls in some rooms and also along the top of some walls and buildings飞檐，上楣       If your friend wants you to help repair the cornice on his house, you’d better bring a ladder. The cornice is the decorative molding that stretches horizontally along the top of some buildings.The cornice that you see on some buildings serves as a decorative element and also functions as a way to keep rainwater from dripping down the walls. The cornice juts away from the building enough that the rainwater flows away from the building. Not just for buildings, the word cornice can also describe raised decorative molding right under the ceiling in a room or a similar decorative topping that crowns some windows to hide curtain rods.cornice: corniced, cornices, cornicing   cornice
crazily   /ˈkreɪzɪli/          adv.发狂地；狂热地疯狂地 80%，狂热地 20%	crazily  /ˈkreɪzɪli/       adv.发狂地；狂热地疯狂地 80%，狂热地 20%                                crazily
scornful   /ˈskɔːnf(ə)l/          adj.轻蔑的轻蔑的 77%，嘲笑的 23%	"scornful  /ˈskɔːnf(ə)l/       adj.轻蔑的轻蔑的 77%，嘲笑的 23%                 scorn, 嘲笑, -ful, 形容词后缀.      adjectiveuk/ˈskɔːn.fəl/ us/ˈskɔːrn.fəl/   showing or feeling scorn for someone or something轻视，鄙视 a scornful look/remark/laugh/tone轻蔑的表情／话语／笑声／口吻 They are openly scornful of the new plans.他们对那些新计划公然嗤之以鼻。       A scornful remark is full of contempt, disdain, or — as you might imagine — scorn. Your obsessively fashionable friends might be scornful of others who don't wear the latest styles.First used in the late 14th century, the adjective scornful originates from the Old French word escarn, meaning ""mockery,"" ""derision,"" or ""contempt."" You may have witnessed a contestant in a beauty pageant give scornful looks to her leading competitors. A list of scornful reviews from film critics usually precedes a film or actor's nomination for a Razzie, an award that recognizes the best of the worst in film each year.scornful: scornfully/scorn: scorned, scorner, scornful, scorning, scorns/scorner: scorners    scornful"
abstention   /əbˈstenʃn/          n.弃权；节制；戒绝节制 69%，戒绝 31%	"abstention  /əbˈstenʃn/       n.弃权；节制；戒绝节制 69%，戒绝 31%           In an act of abstention, Steven stopped eating pizza.为了自检，史蒂芬不再吃披萨了。      abstain 的名词形式.      nounuk/æbˈsten.ʃən/ us/æbˈsten.ʃən/  abstention noun NOT VOTING  [ C or U ] the fact of not voting in favour of or against someone or something弃权 There were high levels of abstention (from voting) in the last elections.上几次选举中都有很多人放弃了投票权。 There were ten votes in favour, six against, and three abstentions.10票赞成，6票反对，3票弃权。  abstention noun NOT DOING  [ U ] formal not doing something, such as drinking alcohol or having sex节制；戒绝（如饮酒，性行为等） Abstention from alcohol is essential while you are taking this medication.服用这种药物期间，一定要戒酒。       Abstention is when someone deliberately avoids doing something, especially something that might be harmful.You might decide to live for a year without buying anything besides food — you could call the act of doing this abstention from the consumer lifestyle. Other kinds of abstention might include resisting junk food or quitting smoking. To abstain is to hold back or shun something. The root of both words is the Latin abstinere, ""withhold, keep back, or keep off.""abstention: abstentions/abstain: abstained, abstainer, abstaining, abstains, abstention, abstinent/abstainer: abstainers/abstinence: abstinences/abstinent: abstinence, abstinently    abstention"
aloha   /əˈloʊhə/          n.爱（等于love）adj.友好的；热情好客的int.再见；欢迎；你好名词 100%	"aloha  /əˈloʊhə/       n.爱（等于love）adj.友好的；热情好客的int.再见；欢迎；你好名词 100%                 来自夏威夷语.            Aloha is a Hawaiian word with many meanings, ranging from love, peace, and compassion to pity and grief. It's commonly used, especially by visitors to Hawaii, to mean ""hello"" and ""goodbye.""While tourists may think of aloha as an authentic way to say, ""Hi there!"" or ""See ya!,"" this word much more complicated to native Hawaiians. Aloha can be a way to add strong emotion to a greeting or to express heartbreak. It's a culturally and spiritually meaningful word that's shared by all Polynesian languages.aloha: alohas   aloha"
jobber   /ˈdʒɑːbər/          n.批发商；股票经纪人；临时工批发商 53%，股票经纪人 39%，做零活者 8%	jobber  /ˈdʒɑːbər/       n.批发商；股票经纪人；临时工批发商 53%，股票经纪人 39%，做零活者 8%                 比喻用法.               jobber
well-adjusted   /ˌwel əˈdʒʌstɪd/          adj.完全调试好了的；完全适应环境的完全调试好了的 50%，完全适应环境的 50%	well-adjusted  /ˌwel əˈdʒʌstɪd/       adj.完全调试好了的；完全适应环境的完全调试好了的 50%，完全适应环境的 50%                                well-adjusted
follow-through   /ˌfɑːloʊ ˈθruː/          n.随球动作；持久的贯彻，持续完结 50%，打球后手腕伸直的情形 50%	follow-through  /ˌfɑːloʊ ˈθruː/       n.随球动作；持久的贯彻，持续完结 50%，打球后手腕伸直的情形 50%                                follow-through
space-based             天基天基 100%	space-based         天基天基 100%                                space-based
trapeze   /trəˈpiːz/          n.秋千；吊架名词 100%	trapeze  /trəˈpiːz/       n.秋千；吊架名词 100%                 来自法语 trapeze, 秋千, 吊架, 来自拉丁语 trapezium, 梯形.【记】tr＝tran转，ape猩猩，ze：猩猩在秋千上转来转去。      noun [ C ]uk/trəˈpiːz/ us/trəˈpiːz/   a short bar hanging high up in the air from two ropes that acrobats use to perform special movements（杂技演员使用的）吊架，高空秋千 A glamorous couple performed on the flying trapeze.两位光彩夺目的艺人在飞荡着的高空秋千上表演。 trapeze artists高空秋千表演者       If you've been to the circus, you've probably seen a trapeze, a swing-like bar on ropes hanging high in the air. Trapeze performers do daring tricks while swinging far above the ground.Acrobats and trapeze artists are trained to dangle and flip and leap from trapeze to trapeze as they swing dozens of feet above the ground. The trapeze was invented in 1859 by a French performer named Jules Leotard. The word trapeze comes from the Latin word trapezium, a geometrical four-sided figure that is mimicked by the shape made by the ceiling, ropes, and bar in a trapeze.trapeze: trapezes   trapeze
high-heeled   /ˌhaɪ ˈhiːld/          adj.高跟的高跟的 100%	high-heeled  /ˌhaɪ ˈhiːld/       adj.高跟的高跟的 100%                                high-heeled
highbrow   /ˈhaɪbraʊ/          n.卖弄知识的人；知识分子adj.不切实际的；自炫博学的；知识分子的文化修养高的 52%，自诩文化修养高的 16%，高知识分子 16%，自以为文化修养很高的人 16%	highbrow  /ˈhaɪbraʊ/       n.卖弄知识的人；知识分子adj.不切实际的；自炫博学的；知识分子的文化修养高的 52%，自诩文化修养高的 16%，高知识分子 16%，自以为文化修养很高的人 16%                 →记1: highbrow→high(a. 高的)+brow(n. 眉毛)→眉毛挑得很高的→趣味很高的人 high, 高, brow, 眉毛. 来自古代面相学, 认为长高眉毛的人天生有艺术修养或艺术口味, 虽然科学证明这一说法毫无根据, 但是这个词却流传了下来. 比较诗句“高帝子孙尽隆准, 龙种自与常人殊”.【记】high高；brow（n.额；眉毛）：眉毛翘得高－自以为是有高深学问或文化素养的人 【参】middlebrow（n.学识平凡的人）；lowbrow（n.教养浅薄的人）      adjectiveuk/ˈhaɪ.braʊ/ us/ˈhaɪ.braʊ/ mainly disapproving  (of books, plays, etc.) involving serious and complicated or artistic ideas, or (of people) interested in serious and complicated subjects（书籍、戏剧等）严肃高雅的，阳春白雪的；（人）对正统题材感兴趣的Comparelowbrowmiddlebrow adjective       Someone highbrow is highly cultured and sophisticated. You can call such a person a highbrow.Certain types of art are considered sophisticated, cultured, and respectable: like opera and classical music. Anything highbrow is usually intellectual in nature, and people who appreciate such things are also called highbrows. Highbrows usually have money and are sometimes considered snobby or hoity-toity. The opposite of highbrow is lowbrow, which refers to vulgar and less sophisticated culture and people. A book by a professor would probably be highbrow, while a book by a reality TV star is probably lowbrow.highbrow: highbrows   highbrow
jubilation   /ˌdʒuːbɪˈleɪʃn/          n.喜欢；庆祝；欢呼庆祝 45%，欢腾 43%，喜悦 12%	"jubilation  /ˌdʒuːbɪˈleɪʃn/       n.喜欢；庆祝；欢呼庆祝 45%，欢腾 43%，喜悦 12%           There was great jubilation that we would never have to go to this school again.大家都很高兴，因为我们再也不用去这所学校了。      →记1: jubilation→jubilate(v. 欢呼, 欢庆)+ion→欢庆 jubilate→jubil(=shout)+ate→to raise a shout of joy→欢呼, 欢庆 欢庆,欢腾[jubil=shout of joy(欢呼)]      noun [ U ]uk/ˌdʒuː.bəlˈeɪ.ʃən/ us/ˌdʒuː.bəlˈeɪ.ʃən/   a feeling of great happiness, especially because of a success（尤指因成功而感到）欢欣，喜气洋洋 There was jubilation in the crowd as the winning goal was scored.球队攻入制胜一球时，人群一片欢腾。       Jubilation is a happy word. Where there is jubilation, there are laughter, smiles, laughs, joy, and gladness.Few things in life are as good as jubilation — this is a word for a lot of happiness and celebration. You can find jubilation at parties, and it often breaks out on holidays. When you get good news, you might feel jubilation. When people say ""Yes! or ""Woo-hoo!,"" they are expressing jubilation and are jubilant.jubilation: jubilations/jubilate: jubilance, jubilated, jubilates, jubilating, jubilation/jubilee: jubilate, jubilees    jubilation"
kingship   /ˈkɪŋʃɪp/          n.王权；王位；君主身分王权 63%，王位 30%，君主身份 7%	kingship  /ˈkɪŋʃɪp/       n.王权；王位；君主身分王权 63%，王位 30%，君主身份 7%                 king, 国王, 君主, -ship, 抽象名词后缀.      noun [ U ]uk/ˈkɪŋ.ʃɪp/ us/ˈkɪŋ.ʃɪp/ formal  being a king做国王 the duties of kingship国王的职责          kingship
repeater   /rɪˈpiːtər/          n.[通信] 中继器；[通信] 转发器；重复者中继器 64%，转发器 36%	repeater  /rɪˈpiːtər/       n.[通信] 中继器；[通信] 转发器；重复者中继器 64%，转发器 36%                 来自 repeat, 重复, 连续. 比喻用法.               repeater
impoverishment   /ɪmˈpɑːvərɪʃmənt/          n.贫穷；致使贫乏或贫瘠之事物贫穷 67%，穷困 33%	"impoverishment  /ɪmˈpɑːvərɪʃmənt/       n.贫穷；致使贫乏或贫瘠之事物贫穷 67%，穷困 33%                             Impoverishment is the state or fact of being extremely poor. A neighborhood's impoverishment is sometimes obvious from its many abandoned buildings.You can use the noun impoverishment to mean ""poverty,"" and also the act of forcing someone into poverty. A despotic government's impoverishment of its own people can be a way to control the citizens. A situation can also cause impoverishment, such as a serious illness and lack of health insurance. The verb impoverish, or ""make poor,"" comes from the Old French empoverir, ""to make poor,"" from povre, ""poor.""impoverishment: impoverishments/impoverish: impoverished, impoverishes, impoverishing, impoverishment    impoverishment"
full-sized   /fʊl saɪzd/          adj.全尺寸的	full-sized  /fʊl saɪzd/       adj.全尺寸的                                full-sized
seedless   /ˈsiːdləs/          adj.无核的；无子的无核的 50%，无籽的 50%	seedless  /ˈsiːdləs/       adj.无核的；无子的无核的 50%，无籽的 50%                       adjectiveuk/ˈsiːd.ləs/ us/ˈsiːd.ləs/   without seeds无籽的；无核的 seedless grapes无籽葡萄          seedless
embolism   /ˈembəlɪzəm/          n.栓塞；闰日栓塞 95%，闰日 3%，血管阻塞 2%	embolism  /ˈembəlɪzəm/       n.栓塞；闰日栓塞 95%，闰日 3%，血管阻塞 2%                 来自 embolus, 栓子.      noun [ C or U ]uk/ˈem.bə.lɪ.zəm/ us/ˈem.bə.lɪ.zəm/ specialized  a bubble of air, a mass of blood that has become hard, or a small piece of fat that blocks an artery（血管的）栓塞，血栓          embolism
wheeled   /wiːld/          v.滚动；装轮子（wheel的过去分词）adj.轮式的；有轮的原型:wheeled 是 wheel 的过去式和过去分词有轮的 54%，轮式的 26%，带行走轮的 10%，动词wheel的过去式和过去分词形式. 10%	wheeled  /wiːld/       v.滚动；装轮子（wheel的过去分词）adj.轮式的；有轮的原型:wheeled 是 wheel 的过去式和过去分词有轮的 54%，轮式的 26%，带行走轮的 10%，动词wheel的过去式和过去分词形式. 10%                                wheeled
lamentation   /ˌlæmənˈteɪʃn/          n.悲叹，哀悼；恸哭哀悼 51%，悲痛 28%，痛哭 21%	"lamentation  /ˌlæmənˈteɪʃn/       n.悲叹，哀悼；恸哭哀悼 51%，悲痛 28%，痛哭 21%                 悲伤(lament哀悼)[-ation表名词""行为,过程,结果""]      noun [ C or U ]uk/ˌlæm.enˈteɪ.ʃən/ us/ˌlæm.enˈteɪ.ʃən/ formal  sadness and feeling sorry, or something that expresses these feelings悲叹，伤感，惋惜 For all the lamentations that schools do not teach the game, it is still played in some areas.很可惜学校不教这项运动，但在某些地区这项运动还在开展。       Lamentation usually occurs when someone dies or a tragedy occurs.  At the funeral, you could hardly hear the speaker above the wails of lamentation.From the Latin lamenta, meaning “weeping” or “wailing,” lamentation means more than just shedding a few tears.  Lamentation is when grief pours out.  If you lose a nice pencil that's no cause for lamentation, but if you lose all your money in a stock market crash, that might be. If someone tells you you'll be late to your own funeral, you can always say: “At least I'll get to enjoy the lamentation!”lament: lamentable, lamentation, lamented, lamenter, lamenting, laments/lamentable: lamentablest, lamentably/lamented: lamentedly, unlamented/lamenting: lamentingly    lamentation"
hangman   /ˈhæŋmən/          n.刽子手；绞刑吏；执行绞刑者刽子手 87%，猜字游戏 13%	hangman  /ˈhæŋmən/       n.刽子手；绞刑吏；执行绞刑者刽子手 87%，猜字游戏 13%                 hang, 绞刑, 绞杀, man, 人. 引申词义刽子手.      nounuk/ˈhæŋ.mən/ /ˈhæŋ.mæn/ us/ˈhæŋ.mən/ /ˈhæŋ.mæn/ plural -men uk/-mən/ us hangman noun PERSON  [ C ] a person whose job is to operate the device that kills criminals by hanging them from a rope by their necks执行绞刑者  hangman noun GAME  [ U ] a word game in which one player has to guess a word that the other player has thought of, by guessing the letters in it. Every time they guess a wrong letter, part of a picture of a person being hanged is drawn, and if the picture is completed the person guessing has lost. 猜单词游戏，绞架猜字游戏          hangman
upside-down   /ˌʌpsaɪd ˈdaʊn/          adj.颠倒的；乱七八糟的乱七八糟的 50%，颠倒的 50%词性：副词 64%, 形容词 36%	upside-down  /ˌʌpsaɪd ˈdaʊn/       adj.颠倒的；乱七八糟的乱七八糟的 50%，颠倒的 50%词性：副词 64%, 形容词 36%           Wine glasses are hung upside-down over the bar to keep dust out of them.红酒杯倒置在酒吧，这样可以防止灰尘进入。                     upside-down
US-backed             adj.美国支持的	US-backed         adj.美国支持的                                US-backed
injurious   /ɪnˈdʒʊriəs/          adj.有害的；诽谤的有害的 73%，中伤的 27%	"injurious  /ɪnˈdʒʊriəs/       adj.有害的；诽谤的有害的 73%，中伤的 27%           Be careful - too much strain might be injurious to your sprained ankle.要小心--太过劳累可能会对扭伤的脚踝造成伤害。      来自 injure, 伤害.有害的(injury+ous)[jur,juris=swear,law,表示""发誓,法律""]      adjectiveuk/ɪnˈdʒʊə.ri.əs/ us/ɪnˈdʒʊr.i.əs/ formal  harmful有害的 Too much alcohol is injurious to your health.饮酒过量有害健康。       Injurious things should be avoided. They cause pain, harm, and — yes — injuries. Handle with care!If you know what an injury is, you have a head start on learning injurious. Anything injurious is dangerous. At a construction site, almost anything could be injurious, if you don't know what you're doing (or even if you do). Falling off a ladder could be very injurious. Even crossing the street can have injurious effects if you're hit by a car. If this word turns up in your diary a dozen times, you're probably in the hospital.injurious: injuriously, injuriousness/injure: injured, injures, injuring, injury/injured: injuredly, uninjured/injury: injuries, injurious    injurious"
thrashing   /ˈθræʃɪŋ/          n.鞭打；打谷v.打扑（thrash的ing形式）原型:thrashing 是 thrash 的现在分词痛打 64%，动词thrash的现在分词 36%	thrashing  /ˈθræʃɪŋ/       n.鞭打；打谷v.打扑（thrash的ing形式）原型:thrashing 是 thrash 的现在分词痛打 64%，动词thrash的现在分词 36%                                thrashing
puritanical   /ˌpjʊrɪˈtænɪk(ə)l/          adj.清教徒的；极端拘谨的极端拘谨的 70%，有清教徒特点的 30%	"puritanical  /ˌpjʊrɪˈtænɪk(ə)l/       adj.清教徒的；极端拘谨的极端拘谨的 70%，有清教徒特点的 30%                 →记1: puritanical→puritan(=Puritan 清教徒)+ical→清教徒似的 Puritan→pure(a. 纯洁的, 纯净的)+itan→清教徒, 基督教新教中的一派, 16 世纪中叶起源于英国, 主张简化宗教礼仪, 提倡勤俭清洁的生活方式 【记】源于：puritan（n.清教徒），ical，清教徒主张勤俭而守礼的生活      adjectiveuk/ˌpjʊə.rɪˈtæn.ɪ.kəl/ us/ˌpjʊr.ɪˈtæn.ɪ.kəl/   believing or involving the belief that it is important to work hard and control yourself, and that pleasure is wrong or unnecessary清教主义的；宗教（或道德）上非常拘谨的 She is very puritanical about sex.她在性问题上非常拘谨。 He rebelled against his puritanical upbringing.他激烈反抗他所受的清教式管教。       Strict, straight laced, and unsmiling, someone who is puritanical follows moral or religious rules to the letter.Describing someone as puritanical is usually a bit of a criticism, since the word implies that the person is not just religious, but overly rigid in his or her beliefs and not a lot of fun to be around. It stems from the word ""Puritan,"" a believer in the branch of Protestantism that objected to some practices of the Church of England. Its root, in turn, is thought to be purity, which is what puritanical people seek when they stick to the rules.puritanical: puritanically/puritan: puritanic, puritanical, puritans    puritanical"
