#separator:tab
#html:false
two-point             n.二点[网络]二点交叉；两点侦测；两点法	two-point         n.二点[网络]二点交叉；两点侦测；两点法                                two-point
mortally   /ˈmɔːrtəli/          adv.致命地；非常致命地 100%	"mortally  /ˈmɔːrtəli/       adv.致命地；非常致命地 100%                 来自 mortal, 死亡的, 致命的.      adverbuk/ˈmɔː.təl.i/ us/ˈmɔːr.t̬əl.i/   so severe that death is likely致命地 mortally wounded受致命伤 extremely极度地，非常 Apparently he was mortally offended.显然他非常生气。       Mortally describes something that happens in a way that causes death. If your guinea pig is mortally ill, it unfortunately means that he's certain to die.You're most likely to come across the adverb mortally followed by the word ""wounded."" For example, a wildlife biologist might describe finding an injured owl that turned out to be mortally wounded, or hurt so badly that it later died. The key to this meaning is the word mortal at the heart of mortally — it means ""doomed to die,"" from the Latin root mortalis, ""subject to death, mortal, or human.""mortal: immortal, mortality, mortally, mortals, postmortal/immortal: immortalise, immortality, immortalize, immortally, immortals/immortalise: immortalised, immortalises, immortalising/immortality: immortalities/immortalize: immortalized, immortalizes, immortalizing/mortality: mortalities    mortally"
portico   /ˈpɔːrtɪkoʊ/          n.（有圆柱的）[建] 门廊；[建] 柱廊门廊 65%，柱廊 35%	"portico  /ˈpɔːrtɪkoʊ/       n.（有圆柱的）[建] 门廊；[建] 柱廊门廊 65%，柱廊 35%                 来自意大利语 portico, 来自拉丁语 porticus, 门, 走廊, 门廊, 词源同 port, portal.      noun [ C ]uk/ˈpɔː.tɪ.kəʊ/ us/ˈpɔːr.t̬ɪ.koʊ/ plural porticoes or porticos  a covered entrance to a building, usually a large and impressive building, that is supported by columns柱厅，柱廊       If your host suggests that you take your iced tea out to the portico, you can follow him onto the porch. A portico is a front porch with columns.If you've ever seen pictures of the United States Capitol building or the Pantheon in Rome, you've seen a portico. While a porch that is held up with grand columns is a portico, a longer covered area or walkway with columns is called a colonnade. The root of portico, is simply the Latin word for ""porch,"" porticus.portico: porticoes, porticos   portico"
constancy   /ˈkɑːnstənsi/          n.坚定不移；恒久不变坚定不移 51%，恒久不变 31%，忠诚 18%	"constancy  /ˈkɑːnstənsi/       n.坚定不移；恒久不变坚定不移 51%，恒久不变 31%，忠诚 18%           This elderly couple embody constancy.这对老夫妇体现了恒心。      不变;不屈不挠[st,sta,stat,stan,stant,stin=stand表示""站,立""]【类】fickle:constancy＝naive:sophistication易变的不恒定＝纯真的不世故      noun [ U ]uk/ˈkɒn.stən.si/ us/ˈkɑːn.stən.si/ formal constancy noun [ U ] STAYING SAME  the quality of staying the same, not getting less or more恒久不变；稳定  constancy noun [ U ] LOYALTY  loyalty忠诚 Never doubt the constancy of my love for you.永远不必怀疑，我对你的爱忠贞不渝。       Something or someone that never changes, that stays the course, and that is more like a rock than a leaf blowing in the wind shows constancy.Have you ever noticed how some people change their minds every day? Someone like that isn't showing constancy. In parts of the world where the weather changes frequently, the weather has no constancy, whereas in San Francisco, where it's about 70 and mild for ten months of the year, the weather has constancy. If you take constancy — a good thing — too far, you have stubbornness — an undesirable quality.constancy: constancies/constant: constancy, constantly, constants, inconstant/inconstancy: inconstancies/inconstant: inconstancy, inconstanter, inconstantly    constancy"
bootleg   /ˈbuːtleɡ/          adj.违法的；偷运或非法制造并销售的vt.私卖vi.私卖n.靴统；私货时态:bootlegged, bootlegging, bootlegs私货 40%，风口小弯管 15%，靴帮 15%，非法制造或售卖的 10%，非法制造或售卖 10%，盗版的 10%词性：名词 70%, 动词 30%	"bootleg  /ˈbuːtleɡ/       adj.违法的；偷运或非法制造并销售的vt.私卖vi.私卖n.靴统；私货时态:bootlegged, bootlegging, bootlegs私货 40%，风口小弯管 15%，靴帮 15%，非法制造或售卖的 10%，非法制造或售卖 10%，盗版的 10%词性：名词 70%, 动词 30%                 boot, 靴子. leg, 腿. 来自于美国 19 世纪末禁酒时期用长靴非法贩卖私酒. 比较 moonshine, 月光, 非法酿造私酒.      adjectiveuk/ˈbuːt.leɡ/ us/ˈbuːt.leɡ/  bootleg adjective ILLEGAL  illegally made, copied, or sold非法制造（或贩卖）的；盗版的 bootleg CDs/liquor盗版光盘／私酒  bootleg adjective TROUSERS  → bootcut （裤子）靴形裁剪的，膝下稍加宽的 bootleg jeans靴形裁剪的牛仔裤  noun [ plural ] uk/ˈbuːt.leɡz/ us/ˈbuːt.leɡz/  → bootcuts 靴形裁剪的裤子 a pair of bootlegs一条靴形裁剪的裤子 verb [ I or T ]uk/ˈbuːt.leɡ/ us/ˈbuːt.leɡ/ -gg-  to illegally make, copy, or sell something非法制造（或复制、贩卖）       Use the adjective bootleg to describe something that is sold illegally, usually because it was stolen in the first place. If you download a movie on your computer and then sell it to a friend, it's a bootleg film.Bootleg is good for describing something that's stolen, smuggled, or pirated. You can use it as a verb, too, when you're talking about selling something illegal or obtained in a sneaky way, like secret recordings of a rock concert or contraband candy at summer camp. The word bootleg, which originally meant simply ""the leg of a boot,"" refers to alcohol smugglers' trick of hiding flasks inside their boots.bootleg: bootlegged, bootlegger, bootlegging, bootlegs/bootlegger: bootleggers    bootleg"
opportune   /ˌɑːpərˈtuːn/          adj.适当的；恰好的；合时宜的适当的 60%，合时宜的 40%	"opportune  /ˌɑːpərˈtuːn/       adj.适当的；恰好的；合时宜的适当的 60%，合时宜的 40%           I suppose this is an opportune time to ask--will you marry me?我想这是一个合适的时间来问--你愿意嫁给我吗？      →记1: opportune→op+port(=harbour 港口)+une→coming to the harbour to obtain timelyprotection→恰好的 →参考: opportunity(n. 机会, 时机) 来自拉丁语 opportunus, 合适的, 有利的, 来自短语 ob portum veniens, 朝向港口的风, 来自 ob, 朝向, 向前, portum, 港口, 词源同 port, veniens, 来, 词源同 advent. 后引申词义适当的, 有机会的. 比较 inopportune.【记】op朝向，port港口，une一进入港口避风雨一合适的 【类】opportune:convenience＝impermanent:transience合适的东西方便＝不持久的东西短暂 【反】inconvenient（adj.不便的）；untimely（adj.不合时宜的）      adjectiveuk/ˈɒp.ə.tʃuːn/ us/ˌɑː.pɚˈtuːn/ formal  happening at a time that is likely to produce success or is convenient（时间）合适的，恰当的，适宜的 This seems to be an opportune moment for reviving our development plan.看来这将是恢复我们发展计划的大好时机。 Would it be opportune to discuss the contract now?现在讨论这项合同合适吗？ Oppositeinopportune       Use the adjective opportune to describe especially good timing. A snowstorm is an opportune time to make extra money shoveling your neighbor's driveway.You can see the word opportunity in opportune. Both words come from the Latin word opportunus, meaning ""favorable,"" which itself is derived from a phrase that describes wind blowing toward a port. Just as the wind helps speed ships toward shore, something that is opportune offers favorable circumstances for accomplishing something or doing something.opportune: inopportune, opportunely, opportuneness, opportunity/inopportune: inopportunely, inopportuneness/opportunism: opportunist, opportunistic/opportunist: opportunists/opportunistic: opportunistically/opportunity: opportunism, opportunities    opportune"
nesting   /ˈnestɪŋ/          n.[计] 嵌套；造巢；镶嵌v.为…筑巢；整天呆在家里；使套入（nest的ing形式）原型:nesting 是 nest 的现在分词嵌套 53%，筑巢 46%，动词nest的现在分词形式. 1%	nesting  /ˈnestɪŋ/       n.[计] 嵌套；造巢；镶嵌v.为…筑巢；整天呆在家里；使套入（nest的ing形式）原型:nesting 是 nest 的现在分词嵌套 53%，筑巢 46%，动词nest的现在分词形式. 1%                       adjectiveuk/ˈnes.tɪŋ/ us/ˈnes.tɪŋ/   fitting inside each other互相套合的 a set of nesting dolls一组套娃          nesting
drawl   /drɔːl/          n.慢吞吞拉长调子的说话方式vt.慢吞吞地说vi.慢吞吞地说时态:drawled, drawling, drawls慢吞吞拉长调子的说话方式 67%，拖长声调说话 33%词性：名词 58%, 动词 42%	"drawl  /drɔːl/       n.慢吞吞拉长调子的说话方式vt.慢吞吞地说vi.慢吞吞地说时态:drawled, drawling, drawls慢吞吞拉长调子的说话方式 67%，拖长声调说话 33%词性：名词 58%, 动词 42%                 →记1: drawl→draw(v. 拉, 抽)+long(a. 长的)→拉得很长→拉长腔调说 →参考: brawl(n. /v. 争吵), growl(v. 咆哮)来自 draw, 拉. 拉长语调音.拉长语调说话[draw=pull,表示""拉""]【记】draw拉，1（声音被拉长的状态）一拉长调子的说话 【参】gavel（n.小木槌）gave给，l（法官用小木槌给一下的动作在空中画出的美妙的曲线） 【类】lope:run＝drawl:speak＝inch:move慢慢跑对跑＝慢慢说对说＝慢慢移动对移动pontificate:pompous＝scoff:derisive＝drawl:slow＝deadpan:impassive『bicker:unpleasant』装腔作势讲话是华而不实的＝嘲弄是嘲笑的＝慢慢说是慢的＝无表情的脸是冷漠的『争吵:令人讨厌的』bluster:loud＝prate:aimless   咆哮的是大声的＝空谈是无目的的      noun [ S ]uk/drɔːl/ us/drɑːl/   a slow way of speaking in which the vowel sounds are made longer and words are not separated clearly说话拉长音，说话拉长调子 a southern/Texan/mid-Atlantic drawl南方／得克萨斯州／中大西洋地区拉长音的说话腔调       A drawl is a distinctively slow, drawn-out way of talking that's especially common in the U.S. South. A writer might describe a cowboy as speaking in a lazy drawl.A drawl tends to lengthen and extend vowel sounds in particular, so that words like ""pet"" or ""pen"" might be pronounced with two syllables, rather than one short one. While the Southern states are best known for inhabitants with drawls, Australian and New Zealand natives are also sometimes said to drawl. The word probably stems from the Dutch dralen, ""delay"" or ""linger.""drawl: drawled, drawler, drawling, drawls/drawler: drawlers    drawl"
feckless   /ˈfekləs/          adj.无效的；软弱的；没精神的；不负责任的；无气力的软弱的 44%，不负责任的 31%，无用的 25%	"feckless  /ˈfekləs/       adj.无效的；软弱的；没精神的；不负责任的；无气力的软弱的 44%，不负责任的 31%，无用的 25%           Smoking when pregnant is irresponsible and feckless!怀孕时吸烟是不负责任的，也是无能的！      →记1: feckless→feck(=effect 效果)+less→无效果的 →参考: reckless(a. 不顾后果的), effortless(a. 不费力气的)feck, 缩写自 effect, 效果, 价值. -less, 没有, 无. 词义引申为差劲的, 品格差的.无目标无计划的(feck效果)[-less表形容词""无…的,不...的""]【记】feck＝effect（n.影响；效果），less－没有效果－无效的 【区】reckless（adj.轻率而不顾后果的）；reck（v.顾虑） 【反】responsible（adj.有责任的；可靠的）      adjectiveuk/ˈfek.ləs/ us/ˈfek.ləs/ formal  weak in character and lacking determination无气力的；无精打采的 He was portrayed as a feckless drunk.他被描述成一个蔫头耷脑的醉汉。       If a newspaper editorial describes a politician as feckless, you might wonder, ""What is feck, and why doesn’t he have any?” In fact, the columnist is accusing the politician of being irresponsible and incompetent.Did you know that most varieties of English are in fact “feck ”-less? They don’t contain a word feck, only the negative counterpart feckless. The “feck” in feckless began as a short form of effect used in the Scots dialect. So feckless essentially means ""ineffective,"" but is also used to describe someone who is irresponsible, incompetent, inept, or without purpose in life.feckless: fecklessly, fecklessness   feckless"
snowboarder             雪山飞魂滑雪板 93%，用滑雪板 7%	snowboarder         雪山飞魂滑雪板 93%，用滑雪板 7%                                snowboarder
preparer   /prɪˈperər/          n.填表人，调制机调制机 60%，准备者 40%	preparer  /prɪˈperər/       n.填表人，调制机调制机 60%，准备者 40%                                preparer
rebounder   /rɪˈbaʊndər/          n.善于篮板球之球员	rebounder  /rɪˈbaʊndər/       n.善于篮板球之球员                                rebounder
dinky   /ˈdɪŋki/          adj.极小的；整洁的；微不足道的小的 33%，无足轻重的 25%，小巧的 21%，不起眼的 7%，精致的 7%，=dinkey. 7%	"dinky  /ˈdɪŋki/       adj.极小的；整洁的；微不足道的小的 33%，无足轻重的 25%，小巧的 21%，不起眼的 7%，精致的 7%，=dinkey. 7%                 词源不详, 可能来自拟声词, 清脆的声音. 引申义精致的.      adjectiveuk/ˈdɪŋ.ki/ us/ˈdɪŋ.ki/ informal  small小的UK approving She's got dinky little (= small and charming) feet.她有一双小巧的脚。US disapproving They live in a dinky one-room apartment.他们住在一个狭小的单间公寓里。  noun [ C ]uk/ˈdɪŋ.ki/ us/ˈdɪŋ.ki/   abbreviation for double income no kids yet: a member of a young couple in which both partners earn a lot of money and are able to spend it on themselves because they have no children丁克一族（双收入但没有孩子的夫妻，通常比较富裕，没有子女负担，double income no kids yet的缩写） This area is too expensive for most people to live in, but it's particularly popular with dinkies.这个地区贵得让大多数人都住不起，但特别受丁克一族的欢迎。       Something that's dinky is very small or unimportant. A college freshmen might be shocked at how dinky her dorm room is.You might live in a dinky apartment or sit down to a child's tea party, sipping out of dinky, doll-sized tea cups. Dinky, meaning ""tiny,"" is often used to complain about the smallness or insignificance of something: ""All I get is this dinky slice of cake, after I helped you bake it?"" Other meanings include a small metal model of a car and a little train car. It comes from the Scottish dink, ""trim"" or ""neat.""dinky: dinkier, dinkies, dinkiest, dinkys   dinky"
cartoonish   /kɑːrˈtuːnɪʃ/          动画片似的卡通化的 100%	cartoonish  /kɑːrˈtuːnɪʃ/       动画片似的卡通化的 100%                                cartoonish
muslin   /ˈmʌzlɪn/          n.棉布；[纺] 平纹细布平纹细布 100%	"muslin  /ˈmʌzlɪn/       n.棉布；[纺] 平纹细布平纹细布 100%                 来自其产地 Mosul, 摩苏尔, 现伊拉克北部城市, 古代纺织业发达之地.      noun [ U ]uk/ˈmʌz.lɪn/ us/ˈmʌz.lɪn/   a very thin cotton material麦斯林纱，平纹细布 A 19th-century painting of a girl in a muslin dress hung on the wall.墙上挂着一幅19世纪的油画，画中的女孩身着平纹细布连衣裙。 The soured milk is strained through muslin to leave a soft ball of cheese.酸奶用平纹细布过滤后，剩下一团可以揉捏成形的软奶酪。       Muslin is a kind of cotton fabric that's plain and lightweight. Designers and dressmakers often use muslin to make inexpensive sample garments for fitting.Perfecting designs using muslin is so common that the practice garment itself is often referred to as a muslin: ""Here, try on this muslin before we cut the pattern out of the silk."" The word muslin comes from the French mousseline, which is rooted in Mosul, the city in Iraq where Western traders first encountered the fabric. This ancient muslin was a luxurious material, while today's is much more ordinary and affordable.muslin: muslins   muslin"
absolutist   /ˈæbsəluːtɪst/          n.绝对论者；专制主义者绝对论者 37%，专制主义者 27%，专制政治论者 18%，绝对论的 9%，专制主义的 9%	absolutist  /ˈæbsəluːtɪst/       n.绝对论者；专制主义者绝对论者 37%，专制主义者 27%，专制政治论者 18%，绝对论的 9%，专制主义的 9%                             An absolutist is someone who believes that the best form of government allows one person to hold all the power. North Korea is an example of a country that's been run by an absolutist leader for many years.In politics, the word absolutist is very closely related to the terms totalitarian and autocratic. In all of these types of governments, with a bit of variation, there is one all-powerful ruler who is in charge. Citizens of a country with an absolutist leadership don't have a say in any decisions the government makes — there is no democratic process, and no checks on the ruler's power. As a political term, absolutist has been around since the 1830's, from the noun absolutism.absolutist: absolutists/absolute: absolutely, absoluteness, absolutes, absolutism/absolutism: absolutisms, absolutist, absolutistic/absolutistic: absolutistically    absolutist
elect   /ɪˈlekt/          n.被选的人；特殊阶层；上帝的选民adj.选出的；当选的；卓越的vi.作出选择；进行选举vt.选举；选择；推选时态:elected, electing, elects选举 69%，选择 23%，当选的 5%，精选的 2%，被选中者 1%词性：动词 96%, 名词 2%, 形容词 2%	"elect  /ɪˈlekt/       n.被选的人；特殊阶层；上帝的选民adj.选出的；当选的；卓越的vi.作出选择；进行选举vt.选举；选择；推选时态:elected, electing, elects选举 69%，选择 23%，当选的 5%，精选的 2%，被选中者 1%词性：动词 96%, 名词 2%, 形容词 2%           We have the right to elect our government.我们有权选举我们的政府。      e-, 向外. -lect, 收集, 选出, 词源同 collect, elite.选出,选举(e出+lect→选出)[lect,lig=choose,gather表示""选择,收集""] v.选举,推选;选择,作出选择In the selection the lecturer neglected the negligible negative reflection on the election.在选集中演讲者忽视了对选举的微不足道的消极反思.      verb [ T ]uk/iˈlekt/ us/iˈlekt/  B2 to decide on or choose, especially to choose a person for a particular job, by voting选举，推选 The President is elected for a four-year term of office.总统任期四年。 [ + as + noun ] We elected him as our representative.我们选他当代表。 [ + noun ] She was elected Chair of the Board of Governors.她被选为董事会主席。 [ + to infinitive ] The group elected one of their members to be their spokesperson.该团体选出了他们的一名成员代表他们发言。elect to do sth formal to choose to do a particular thing选择做… She elected to take early retirement instead of moving to the new location.她不想搬去新的工作地点，就选择了提前退休。More examplesShe was elected as leader of the campaign group.He was elected in the normal manner.He was elected as party leader in 2010.Representatives were elected by ballot.Politicians should be accountable to the public who elected them.  noun [ plural ]uk/iˈlekt/ us/iˈlekt/  the elect formal in the Bible, people who are chosen by God（《圣经》中所称的）上帝的选民 humorous any group of people who have been specially chosen for their particular qualities特权集团；特殊阶层  adjective [ after noun ]uk/iˈlekt/ us/iˈlekt/  president elect, prime minister elect, etc. the person who has been voted to be president, prime minister, etc. but has not yet started work候任总统／首相等 The president elect has been preparing to take office in January.候任总统一直在为一月份的就职做准备。 Comparedesignate verb     elect, select, pick, prefer, choose, opt  这组词都有“选择”的意思，其区别是：  elect: 指按照一定的规章或法律，用投票等方式进行的认真慎重的选择。  select: 书面用词，具有庄严、正式的感情色彩。强调精选。  pick: 口语用词，多指从个人角度仔细挑选，也含任意挑选之意。  prefer: 强调个人偏爱，不一定有选择的行动。  choose: 普通用词，侧重根据个人意愿和判断从众多的对象中进行选择，着重被选者的优点。  opt: 多指在几种可能性之间进行选择。      To elect is to choose. A group of citizens may elect the next president, or you may just elect to stay home during the blizzard.Most famously, in the political sense, elect means to choose a person for public office, usually via an election. It also means to choose a particular course in life of major consequence. You probably don't elect to drink Pepsi over Coke, but you do elect to study a particular major at college, or sign up for military service.elect: elected, electing, election, elective, electly, elector, electorate, elects, reelect/elected: nonelected/election: electioneer, elections, electoral/electioneer: electioneered, electioneering, electioneers/electioneering: electioneerings/elective: electively, electives, non-elective, nonelective/elector: electors/electoral: electorally/electorate: electorates/reelect: reelected, reelecting, reelection, reelects/reelection: reelections    elect"
flirt   /flɜːrt/          n.急扔；调情的人；卖弄风骚的人vt.挥动；忽然弹出vi.调情；玩弄；轻率地对待；摆动时态:flirted, flirting, flirts调情 80%，调情的人 6%，玩弄 5%，忽然弹出 3%，卖弄风骚的人 3%，掠过 1%，轻率对待 1%，摇动 1%词性：动词 90%, 名词 10%	flirt  /flɜːrt/       n.急扔；调情的人；卖弄风骚的人vt.挥动；忽然弹出vi.调情；玩弄；轻率地对待；摆动时态:flirted, flirting, flirts调情 80%，调情的人 6%，玩弄 5%，忽然弹出 3%，卖弄风骚的人 3%，掠过 1%，轻率对待 1%，摇动 1%词性：动词 90%, 名词 10%           She hates it when her boyfriend flirts with other girls.她的男朋友跟其他女孩调情的时候，她恨啊。      →记1: flirt→fly(v. 飞)+skirt(n. 裙子)→飞起裙子→挑逗 →参考: flirtatious(a. 爱调情的, 调情的)来自 flit, 掠过, 轻掠. 或直接来自辅音丛 bl, fl, 折腾, 拍打, 拟声词, 词源同 flap, flabby, flag. 插入字母 r, 延长音, 模仿调情的声音.      verb [ I ]uk/flɜːt/ us/flɝːt/   to behave as if sexually attracted to someone, although not seriously调情，打情骂俏 Christina was flirting with just about every man in the room.克里斯蒂娜几乎在跟房间里的每一个男人调情。 Phrasal verb(s)flirt with sth noun [ C ]uk/flɜːt/ us/flɝːt/   someone who behaves as if they are sexually attracted to a lot of people调情者，打情骂俏者 He's a compulsive flirt.他不能自拔地到处跟人调情。  adjective uk/ˈflɜː.ti/ us/ˈflɝː.t̬i/  behaving as if you are sexually attracted to someone, although not seriously打情骂俏的，轻佻的 flirty comments轻佻的言语 a flirty woman一个轻佻的女人      If you're interested in someone romantically, you might flirt with them, which means to chat them up or tease them in a playful way.Flirting is an indirect and fun way to let your crush know you're interested, like a seductive line or a few coy words. Or if there's a girl you've had your eye on, you might make a point of walking by her desk and saying hello every morning. But even if you don't have a love interest, you can still flirt. Driving carelessly is flirting with disaster: it's almost like you're toying with the idea of getting into an accident.flirt: flirtation, flirtatious, flirted, flirting, flirts/flirtation: flirtations/flirtatious: flirtatiously/flirting: flirtings   flirt
hibernate   /ˈhaɪbərneɪt/          vi.过冬；（动物）冬眠；（人等）避寒时态:hibernated, hibernating, hibernates冬眠 80%，过冬 12%，蛰伏 8%	hibernate  /ˈhaɪbərneɪt/       vi.过冬；（动物）冬眠；（人等）避寒时态:hibernated, hibernating, hibernates冬眠 80%，过冬 12%，蛰伏 8%           Bears can sleep for months when they hibernate during the winter.冬天熊会冬眠数月。      →记1: hibernate→hibern(=winter 冬天)+ate→冬眠 →参考: hibernation(n. 冬眠), dormant(a. 冬眠的)来自拉丁语 hibernus, 冬天的, 来自 hiems, 冬天, 雪, 词源同 hiemal, Himalaya. 引申词义冬眠, 蛰伏.      verb [ I ]uk/ˈhaɪ.bə.neɪt/ us/ˈhaɪ.bɚ.neɪt/   (of some animals) to spend the winter sleeping（动物）冬眠 The turtle hibernates in a shallow burrow for six months of the year.这种龟每年在浅地洞里冬眠6个月。       To hibernate means to take a season-long snooze. When a bear crawls into a cave with a belly full of food ready to sleep through the cold winter, that bear is going to hibernate until spring.Animals that sleep through the winter, like bears, squirrels, rodents and even some rattlesnakes, are said to hibernate through the winter. This word can also be used to describe any kind of inactive or dormant state, especially for the purpose of getting rest. If you’ve had a tough week and you’re planning to shut down and hole up in your house for the weekend, you could say you’re going to hibernate this weekend.hibernate: hibernated, hibernates, hibernating, hibernation/hibernation: hibernations    hibernate
immaturity   /ˌɪməˈtʃʊrəti; ˌɪməˈtʊrəti/          n.未成熟；粗糙；未臻完美；不完全不成熟 100%	"immaturity  /ˌɪməˈtʃʊrəti; ˌɪməˈtʊrəti/       n.未成熟；粗糙；未臻完美；不完全不成熟 100%                             The state of immaturity suggests something that has not ripened or is not fully grown. Applied to humans, it is the state of being less than fully-grown, or at least of acting in a childish or silly manner.With the Latin word immātūritās meaning ""unripeness,"" as in a piece of fruit that is not yet fully developed, we can see the meaning of the modern word immaturity. Nowadays, the word is applied more often to people than to fruit, usually in referring to foolish behavior. Although the word is most often used to refer to adolescent behavior, it can still be applied to a physical state of development. And of course, it can still be applied to underripe produce.immaturity: immaturities/immature: immaturely, immatureness, immaturity/maturate: maturates, maturating, maturation/maturation: maturational/mature: immature, maturate, matured, maturely, maturement, matureness, maturer, matures, maturest, maturing, maturity/maturity: maturities, post-maturity    immaturity"
ischemic   /ɪsˈkiːmɪk/          adj.缺血性的；局部缺血的缺血性的 100%	ischemic  /ɪsˈkiːmɪk/       adj.缺血性的；局部缺血的缺血性的 100%                                ischemic
hoodlum   /ˈhʊdləm/          n.流氓；暴徒；无赖暴徒 59%，流氓 41%	hoodlum  /ˈhʊdləm/       n.流氓；暴徒；无赖暴徒 59%，流氓 41%                 词源不详, 特别用于指美国加利福尼亚州 19 世纪 70 年代欺负中国移民的街头流氓, 一种说法是来自”huddle ‘em”, 即 huddle them, 类似于攻击中国移民的暗号, 后来报纸就把这帮人称做 hoodlum.      noun [ C ]uk/ˈhuːd.ləm/ us/ˈhuːd.ləm/ also hood old-fashioned  a violent person, especially one who is member of a group of criminals恶棍；（尤指加入犯罪团伙的）歹徒       Hoodlums are young people who are involved in crime or generally up to no good. A car full of hoodlums might drive down the street and smash mailboxes with a baseball bat. Hoodlums are into mean stuff like that.If you've ever seen a group of young people who look like trouble, you may have seen a group of hoodlums. Hoodlums are loud, aggressive, and violent. Hoodlums are part of gangs and commit crimes. If a young person robs a store or mugs someone, he’s a hoodlum. The word hoodlum has nothing to do with the hood on a sweatshirt. A hoodlum can also be called a gangster, thug, or toughie. Steer clear!hoodlum: hoodlums   hoodlum
hospitalized   /ˈhɑːspɪtəlaɪzd/          vt.住院；入院就医（hospitalize的过去分词）原型:hospitalized 是 hospitalize 的过去式和过去分词就医 50%，使住院 50%	hospitalized  /ˈhɑːspɪtəlaɪzd/       vt.住院；入院就医（hospitalize的过去分词）原型:hospitalized 是 hospitalize 的过去式和过去分词就医 50%，使住院 50%                                hospitalized
unblinking   /ʌnˈblɪŋkɪŋ/          adj.不眨眼的；坚定的，不动摇的原型:unblinking 是 unblink 的现在分词不眨眼的 44%，不动摇的 28%，坚定的 28%	"unblinking  /ʌnˈblɪŋkɪŋ/       adj.不眨眼的；坚定的，不动摇的原型:unblinking 是 unblink 的现在分词不眨眼的 44%，不动摇的 28%，坚定的 28%                       adjectiveuk/ʌnˈblɪŋ.kɪŋ/ us/ʌnˈblɪŋ.kɪŋ/   looking straight at someone or something in a steady way without blinking (= closing and opening your eyes quickly)不眨眼的 He leaned threateningly towards me and fixed me with an unblinking stare. 他以威胁的姿态向我探过身来，一眼不眨地盯着我。       Someone who stays calm and unemotional is unblinking. The unblinking gaze of your social studies teacher may be enough to quiet the entire class.This adjective is also useful for eyes that literally don't blink: ""The lizard's unblinking eyes made me nervous, so I covered the cage."" You can also use it to mean ""brave or unflinching,"" like an unblinking warrior who marches into battle with her sword raised. This word is composed of the prefix un- (""not"" or ""opposite of"") and the verb blink, which may come from the Middle Dutch blinken, ""to glitter.""unblinking: unblinkingly/blink: blinked, blinker, blinking, blinks/blinker: blinkered, blinkers/blinking: blinkingly, blinkings, unblinking/blinks: blinkses    unblinking"
valium   /ˈvæliəm/          n.[药] 安定（商标名称）	valium  /ˈvæliəm/       n.[药] 安定（商标名称）                 词源不详, 可能来自拉丁语 valere, 强健的, 词源同 valiant, 以此命名, 寓意安定之义.      noun [ C or U ]uk/ˈvæl.i.əm/ us/ˈvæl.i.əm/ trademark  a brand name for a drug that makes you calm and helps you to stop worrying, or a pill containing this（一片）瓦利姆镇定药，（一片）安定 She was on (= using) Valium for a few months after the accident.事故发生后有好几个月，她一直在服用安定。 to take a couple of Valium服几片安定          valium
gunfight   /ˈɡʌnfaɪt/          n.枪战枪战 100%	gunfight  /ˈɡʌnfaɪt/       n.枪战枪战 100%                       noun [ C ]uk/ˈɡʌn.faɪt/ us/ˈɡʌn.faɪt/   a fight using guns between two or more people, especially cowboys（尤指牛仔间的）枪战，火拼          gunfight
walk-on   /ˈwɔːk ɑːn/          n.跑龙套角色；临时队员跑龙套角色 51%，临时队员 33%，配角演员 16%	walk-on  /ˈwɔːk ɑːn/       n.跑龙套角色；临时队员跑龙套角色 51%，临时队员 33%，配角演员 16%                                walk-on
workroom   /ˈwɜːrkruːmˌˈwɜːrkrʊm/          n.工作室；工场间工作室 100%	workroom  /ˈwɜːrkruːmˌˈwɜːrkrʊm/       n.工作室；工场间工作室 100%                       noun [ C ]uk/ˈwɜːk.ruːm/ /ˈwɜːk.rʊm/ us/ˈwɝːk.ruːm/ /ˈwɝːk.rʊm/   a room in which work is done, especially making things工作间，工作室；（尤指）作坊          workroom
