#separator:tab
#html:false
anti-government             adj.反对政府的	anti-government         adj.反对政府的                                anti-government
recline   /rɪˈklaɪn/          vt.使躺下；使斜倚vi.靠；依赖；斜倚时态:reclined, reclining, reclines斜倚 35%，躺 27%，依赖 25%，靠在 8%，倚靠 5%	"recline  /rɪˈklaɪn/       vt.使躺下；使斜倚vi.靠；依赖；斜倚时态:reclined, reclining, reclines斜倚 35%，躺 27%，依赖 25%，靠在 8%，倚靠 5%           The woman reclines on her sofa and uses the computer.那个女士斜靠在沙发上使用她的电脑。      re-, 向后, 往回, -clin, 弯, 倾斜, 词源同 incline, decline.【记】re反，cline倾斜一倾斜回去一斜靠      verbuk/rɪˈklaɪn/ us/rɪˈklaɪn/ formal  [ I or T ] to lean or lie back with the upper part of your body in a nearly horizontal position（使）斜倚；（使）斜躺；（使）向后倚靠 She was reclining elegantly on the sofa.她优雅地斜倚在沙发上。 He reclined his head against/on my shoulder.他把头靠在我的肩上。 [ T ] If you recline a chair, you change the position of its back so that it is in a leaning position.使（坐椅靠背）向后倾斜       When you recline, you lounge or lean back. It isn't safe to recline while you're driving a car. However, it's perfectly safe to recline on your couch while you watch TV.When you lie back in your hammock, you recline, and when you tilt your airplane seat into the lap of the person sitting behind you, you recline it. You might even have a special chair that reclines when you lean back in it, magically providing you with a footrest — it's called a recliner. Recline, from the Latin reclinare, ""to bend back,"" shares a Proto-Indo-European root with lean.recline: reclined, recliner, reclines, reclining/recliner: recliners/reclining: reclinings    recline"
freshen   /ˈfreʃn/          vt.使清新；使新鲜；使精神焕发vi.显得新鲜；减少咸味；精神饱满时态:freshened, freshening, freshens使洁净 34%，使有精神 33%，变新鲜 33%	"freshen  /ˈfreʃn/       vt.使清新；使新鲜；使精神焕发vi.显得新鲜；减少咸味；精神饱满时态:freshened, freshening, freshens使洁净 34%，使有精神 33%，变新鲜 33%           My girlfriend told me I need to freshen my breath with some chewing gum.我女朋友说我需要嚼点口香糖来清新口气。            verbuk/ˈfreʃ.ən/ us/ˈfreʃ.ən/  freshen verb AIR  [ T ] also freshen up to make something cleaner and/or cooler使洁净，使凉爽 She opened a window to freshen up the room.她打开一扇窗户给屋里换换空气。 [ I ] UK If a wind freshens, it becomes stronger and cooler.（风）增强变冷 The wind is expected to freshen as it moves in from the east.预计在自东向西移动的过程中风力会增强。  freshen verb DRINK  [ T ] mainly US also freshen up If you freshen someone's especially alcoholic drink, you add more to it.添（尤指酒） Here, let me freshen your drink.来，我给你添点儿酒。 Phrasal verb(s)freshen (sb/sth) upfreshen sth up      When you make something feel cleaner or newer, you freshen it. If your grandmother says she's going to freshen her makeup, she might apply some lipstick and powder her nose.There are many ways to freshen, depending on what needs to be made fresh. You can freshen the air in your house by opening all the windows, or freshen up your friend's drink by pouring more lemonade in her glass. A company may decide to freshen their brand's image after a scandal, and you might freshen your breath by swishing a little mouthwash. Back in the 1600s, this verb meant ""make stronger.""freshen: freshened, freshener, freshening, freshens, refreshen/fresh: freshen, freshest, freshly, freshness/freshener: fresheners/freshness: freshnesses/refreshen: refreshened, refreshening, refreshens    freshen"
golly   /ˈɡɑːli/          n.神；（澳）唾沫；怪人（等于golliwog）vt.（澳）吐痰int.天哪！（表示惊奇、困惑、高兴等，God的委婉语）vi.（澳）吐痰副词 91%，名词 9%	golly  /ˈɡɑːli/       n.神；（澳）唾沫；怪人（等于golliwog）vt.（澳）吐痰int.天哪！（表示惊奇、困惑、高兴等，God的委婉语）vi.（澳）吐痰副词 91%，名词 9%                 来自 god 的委婉语.      exclamationuk/ˈɡɒl.i/ us/ˈɡɑː.li/ old-fashioned informal  used to show surprise（表示惊奇）天哪，啊 Grandad might be 70 but he said he'd finish the marathon and, by golly, he did.爷爷那时可能都70岁了，可他说他能跑完马拉松，天哪，他还真做到了。  noun [ C ]uk/ˈɡɒl.i/ us/ˈɡɑː.li/ old-fashioned informal  a golliwog（同 golliwog）          golly
bouncing   /ˈbaʊnsɪŋ/          v.弹跳（bounce的ing形式）adj.跳跃的；巨大的；活泼的原型:bouncing 是 bounce 的现在分词跳跃的 41%，健壮的 26%，巨大的 17%，精神饱满的 11%，动词bounce的现在分词形式. 5%	bouncing  /ˈbaʊnsɪŋ/       v.弹跳（bounce的ing形式）adj.跳跃的；巨大的；活泼的原型:bouncing 是 bounce 的现在分词跳跃的 41%，健壮的 26%，巨大的 17%，精神饱满的 11%，动词bounce的现在分词形式. 5%                       adjective [ before noun ]uk/ˈbaʊn.sɪŋ/ us/ˈbaʊn.sɪŋ/   (especially of a baby) healthy and energetic（尤指婴儿）健壮的，活跃的，精力旺盛的 We've got two grandchildren - a three-year-old girl and a bouncing baby boy.我们有两个孙辈的孩子——一个3岁的女孩和一个健壮的男婴。          bouncing
hardball   /ˈhɑːrdbɔːl/          n.硬式棒球（等于baseball）；（为达到某种目的而采取的）强硬手段；刀剑搏杀硬式棒球 65%，强硬态度 35%	"hardball  /ˈhɑːrdbɔːl/       n.硬式棒球（等于baseball）；（为达到某种目的而采取的）强硬手段；刀剑搏杀硬式棒球 65%，强硬态度 35%                       noun [ U ]uk/ˈhɑːd.bɔːl/ us/ˈhɑːrd.bɑːl/   the game of baseball  when it is played with a hard ball棒球Comparesoftball       If you want to play hardball, you’re not messing around. You’re a shrewd negotiator and you’ll do anything to get what you want. Or maybe you just want to play baseball, which is also known as hardball.You can use the slightly old-fashioned hardball for this all-American sport, particularly to distinguish it from softball, which is played with similar rules but a larger, slightly softer ball. You can also use the word informally to mean ""ruthless methods."" So if a businessperson, politician, or journalist plays hardball, they’re being super competitive and try to win at all costs.hardball: hardballs   hardball"
adhesion   /ædˈhiːʒ(ə)n/          n.粘附；支持；固定附着 65%，粘合 27%，支持 8%	"adhesion  /ædˈhiːʒ(ə)n/       n.粘附；支持；固定附着 65%，粘合 27%，支持 8%                       noun [ U ]uk/ədˈhiː.ʒən/ us/ədˈhiː.ʒən/   the ability to stick黏附力；黏着（力） At this stage a resin is used with a high level of adhesion.这步工序需要用一种黏合力很强的树脂。       Dab some Krazy Glue onto a surface and you'll see how powerful its properties of adhesion, or stickiness, are.  Similarly, someone who sticks to a cause no matter what has a really strong adhesion or commitment to that cause.Adhesion comes from the Latin adhaesionem meaning ""a sticking to,"" a translation that perfectly captures that adhesive quality.  Objects can be characterized by their adhesion — like Scotch tape or Velcro. Similarly, when you see a group of protesters camped outside the Capital fighting for a cause, it's their adhesion (or dedication) that keeps them stuck there rain or shine. In medicine, adhesion is used to describe abnormal bands of scar tissue that might form after a surgery.adhesion: adhesions/adhere: adhered, adherent, adheres, adhering, adhesion, adhesive/adherence: adherences/adherent: adherence, adherents/adhesive: adhesively, adhesiveness, adhesives, nonadhesive    adhesion"
firstborn   /ˈfɜːrstbɔːrn/          n.长子；初生儿；长女adj.头生的；第一胎生的最先出生的 100%	firstborn  /ˈfɜːrstbɔːrn/       n.长子；初生儿；长女adj.头生的；第一胎生的最先出生的 100%                       adjective, noun [ C usually singular ]uk/ˈfɜːst.bɔːn/ us/ˈfɝːst.bɔːrn/ literary or humorous  used to refer to the first child of a set of parents头胎；长子；长女 In the Hebrew Bible, the firstborn son is the one who inherits his father's position as head of the family.根据《希伯来圣经》，长子是继承父亲家庭首领位置的人。 Olaf is my firstborn.奥拉夫是我的第一个孩子。          firstborn
condiment   /ˈkɑːndɪmənt/          n.调味品；佐料调味品 75%，佐料 25%	"condiment  /ˈkɑːndɪmənt/       n.调味品；佐料调味品 75%，佐料 25%           Ketchup is a good condiment to put on a hamburger.番茄酱是汉堡很好的调味料。      →记1: condiment 音“康的门的”→健康之门的→调味品是健康之门的钥匙  →记2: condiment→con+dim(=to put 放)+ent→做菜时放的东西→佐料 con-, 强调. -di, 给予, 词源同 donate, date. 即放到一起调制而成的, 调料.调味品(cond+I+ment→藏起[坏味道]→调味品)[cond=hide,表示""藏""]【记】cond隐藏，ment读：闷他－藏到锅里把他（佐料）闷起来（广州煲汤的方法） 【参】abscond（v.潜逃）；recondite（adj.深奥的）      noun [ C ]uk/ˈkɒn.dɪ.mənt/ us/ˈkɑːn.də.mənt/ formal  a substance, such as salt, that you add to food to improve its taste调味品       A condiment adds flavor to food. Ketchup and mustard are popular condiments.Most people use condiments when they eat. There are lots of salad dressings, and they're all condiments. If you put relish on a hot dog, that's a condiment too. Barbecue sauce and blue cheese are condiments as well. If it's an extra thing — especially a sauce like ranch dressing — and it makes food taste better, it's probably a condiment.condiment: condiments   condiment"
scoundrel   /ˈskaʊndrəl/          n.恶棍；无赖；流氓adj.卑鄙的无赖 82%，无赖的 18%	scoundrel  /ˈskaʊndrəl/       n.恶棍；无赖；流氓adj.卑鄙的无赖 82%，无赖的 18%                 →记1: scoundrel→scound(=abscond 潜逃)+rel(小)→潜逃的小人→无赖 词源不详, 可能改写自苏格兰语 scunner, 畏缩, 逃避, 等同于 shun, 逃避, 回避, -er, 表反复. 引申词义无赖, 恶棍.【记】scound＝scold，rel：值得责备的人－无耻之徒      noun [ C ]uk/ˈskaʊn.drəl/ us/ˈskaʊn.drəl/ old-fashioned or humorous  a person, especially a man, who treats other people very badly and has no moral principles恶棍，流氓，无赖 He was, she said, a heartless scoundrel who had stripped her of everything she owned.她说，他是个狠心的无赖，夺走了属于她的一切。       A scoundrel is a person who does deliberately evil things. If your brother hides a fake mouse in your shoe and you therefore almost have a heart attack while getting dressed, you have every right to call him a scoundrel.Though the term scoundrel isn’t used as much as it once was, it’s the perfect way to describe someone who breaks the law, has no morals, or someone like your sneaky sibling who loves to play practical jokes. Most villains in movies and on television can be put in this category. Interestingly, though women are quite capable of equally wicked behavior, this particular term is usually reserved for men.scoundrel: scoundrelly, scoundrels   scoundrel
nonsignificant   /ˌnɑnsɪɡˈnɪfɪkənt/          adj.无意义的；无足轻重的；不重要的	nonsignificant  /ˌnɑnsɪɡˈnɪfɪkənt/       adj.无意义的；无足轻重的；不重要的                                nonsignificant
schoolboy   /ˈskuːlbɔɪ/          n.男学生；学童男学生 62%，男学生的 21%，男学生参与的体育项目的 17%	schoolboy  /ˈskuːlbɔɪ/       n.男学生；学童男学生 62%，男学生的 21%，男学生参与的体育项目的 17%           The schoolboy studies hard.这个男生学习很努力。            noun [ C ]uk/ˈskuːl.bɔɪ/ us/ˈskuːl.bɔɪ/   a boy who goes to school（中小学）男生 Idiom(s)as every schoolboy/schoolchild knows adjective [ before noun ]uk/ˈskuːl.bɔɪ/ us/ˈskuːl.bɔɪ/   like a child or at the time when someone was a child幼稚的 He recalled that he had a schoolboy crush on her (= liked her very much when he was a schoolboy).他记得年少时曾经对她心动。          schoolboy
gondola   /ˈɡɑːndələˌɡɑːnˈdoʊlə/          n.两头尖的平底船；狭长小船；无盖货车两头尖的平底船 67%，敞篷货车 33%	gondola  /ˈɡɑːndələˌɡɑːnˈdoʊlə/       n.两头尖的平底船；狭长小船；无盖货车两头尖的平底船 67%，敞篷货车 33%                 来自威尼斯语.      noun [ C ]uk/ˈɡɒn.dəl.ə/ us/ˈɡɑːn.dəl.ə/   a narrow boat with a raised point at both ends, used on canals in Venice（意大利威尼斯运河中的）凤尾船，小划船，贡多拉 in a cable car, ski lift, amusement park ride, etc., a hanging part that people sit or travel in载人的悬空物（如飞艇的吊舱；热气球、缆车等的吊篮）       A gondola is a narrow boat that's powered by a rower who stands at one end. If you visit Venice, you should ride along the canals in a gondola.Gondolas look a bit like long, skinny canoes with flat bottoms. They're lightweight boats that are almost entirely used for transportation and tourism in Venice, Italy, a city that's made up of many small islands linked by canals and bridges. During the 17th and 18th centuries, historians estimate there were as many as ten thousand gondolas in regular use there — today there are about 400. Enclosed ski lifts are also known as gondolas.gondola: gondolas, gondolier/gondolier: gondoliers    gondola
thickly   /ˈθɪkli/          adv.厚地；浓地厚厚地 44%，声音沙哑地 28%，浓密地 28%	thickly  /ˈθɪkli/       adv.厚地；浓地厚厚地 44%，声音沙哑地 28%，浓密地 28%                                thickly
fondle   /ˈfɑːnd(ə)l/          vt.爱抚；抚弄vi.爱抚；调戏时态:fondled, fondling, fondles爱抚 42%，抚弄 26%，爱 24%，溺爱 8%	fondle  /ˈfɑːnd(ə)l/       vt.爱抚；抚弄vi.爱抚；调戏时态:fondled, fondling, fondles爱抚 42%，抚弄 26%，爱 24%，溺爱 8%           She fondled her cat as it sat in her lap.她抚摸着她的猫，因为它坐在她的腿上。      →记1: fondle→fond(a. 喜爱的, 宠爱的)+le→抚爱 来自 fond, 喜爱.【记】fond（adj.喜爱的）      verb [ T ]uk/ˈfɒn.dəl/ us/ˈfɑːn.dəl/   to touch gently and in a loving way, or to touch in a sexual way（充满柔情地）抚摸，抚弄；（两性间）爱抚 She fondled the puppies.她抚摸着小狗。 He gently fondled the baby's feet.他轻轻地抚摸着宝宝的双脚。 She accused him of fondling her (= touching her in a sexual way) in the back of a taxi.她指控他在出租车后排调戏她。          fondle
dyslexia   /dɪsˈleksiə/          n.难语症；[医] 诵读困难；阅读障碍阅读障碍 100%	"dyslexia  /dɪsˈleksiə/       n.难语症；[医] 诵读困难；阅读障碍阅读障碍 100%                 →记1: dyslexia→dys(有障碍的, 困难的)+lex(说话, 讲话)+ia(疾病)→诵读困难 →参考: lexicon(n. 词典)dys-, 不好的. -lex, 阅读, 词源同 legible, lexicon.阅读障碍(dys不良+lex+ia病→对词汇不良的病→阅读障碍)[lex,lexic=word,speech,表示""词汇""] 阅读障碍(dys坏+lex词语+ia)[-ia 1.表名词""某种病""2.表名词""总称,状态""]【记】dys不良，lex词语，ia病一阅读障碍症 【参】dysfunction（n.机能不良）；dysphoria（n.烦躁不安）；lexicon（n.词典） 【类】insomnia:sleep＝dyslexia:read得失眠症无法睡觉＝得阅读障碍症无法阅读      noun [ U ]uk/dɪˈslek.si.ə/ us/dɪˈslek.si.ə/   a condition affecting the brain that makes it difficult for someone to read and write（因无法分清字形而造成的）读写障碍       Dyslexia is a reading disorder. People who have dyslexia have trouble matching the sounds in words with the letters and letter combinations that make those sounds.Dyslexia is from the Greek roots dys, ""difficult,"" and lexis, ""word."" Although dyslexia literally means ""difficulty with words,"" someone who has dyslexia may also have trouble in other areas like math, telling time, or even telling left and right. However, there's no lack of intelligence associated with dyslexia: famous dyslexics include Thomas Edison, John Lennon, and Whoopi Goldberg.dyslexia: dyslectic/dyslectic: dyslectics/dyslexic: dyslexia    dyslexia"
politico   /pəˈlɪtɪkoʊ/          n.政客政客 100%	"politico  /pəˈlɪtɪkoʊ/       n.政客政客 100%                 来自意大利语 politico, 政客, 词源同 politician.            Someone who's involved in politics can be called a politico. If you're managing your friend's campaign for school president while simultaneously running for school treasurer, you're a bit of a politico.Politico is basically an informal way to say ""politician,"" although the term also includes people who follow politics or act behind the scenes in the political arena. It's often used in a fairly negative way: ""Those politicos will use any dirty tricks to get their guy elected."" Politico is originally a Spanish word meaning ""political.""politico: politicos   politico"
enamor   /ɪˈnæmər/          vt.使迷恋，使倾心时态:enamored, enamoring, enamors使迷恋 60%，迷住 40%	enamor  /ɪˈnæmər/       vt.使迷恋，使倾心时态:enamored, enamoring, enamors使迷恋 60%，迷住 40%                             When you are enamored by something or someone, you love it. It attracts you. You might say that you're enamored with your new car, or enamored of the new kid in school.Enamor is a strange verb––it doesn't mean anything on its own. One cannot just enamor––that means nothing. One cannot even enamor something––that also is a meaningless proposition. Rather, you're enamored by the thing that attracts you. The verb is almost always used in a passive construction.enamor: enamored, enamoring/enamored: enamoredness    enamor
treetop   /ˈtriːtɑːp/          n.树顶；树梢树梢 72%，树顶 28%	treetop  /ˈtriːtɑːp/       n.树顶；树梢树梢 72%，树顶 28%                                treetop
indulgent   /ɪnˈdʌldʒənt/          adj.放纵的；宽容的；任性的溺爱的 33%，纵容的 29%，宽容的 29%，任性的 9%	indulgent  /ɪnˈdʌldʒənt/       adj.放纵的；宽容的；任性的溺爱的 33%，纵容的 29%，宽容的 29%，任性的 9%           I'm a very indulgent parent, so I let my son eat pizza every day.我是一个非常放纵的家长，所以我每天都让我的儿子吃比萨。      来自 indulgent, 纵容, 放纵.【反】martinet（严格执行纪律的人）－indulgent individual（放纵者）ascetic（adj.苦行的）；Draconian（adj.严峻的）；spartan（adj.节俭的）      adjectiveuk/ɪnˈdʌl.dʒənt/ us/ɪnˈdʌl.dʒənt/   allowing someone to have or do what they want, especially when this is not good for them迁就的；纵容的；宽容的 indulgent relatives待人宽厚的亲戚 an indulgent smile宽容的微笑 He had been a strict father but was indulgent to/towards his grandchildren.他曾是个严厉的父亲，但对孙子孙女却很娇惯。       Someone who is self-indulgent gives themselves a lot of treats. Parents who are indulgent cave to every desire their child expresses. Indulgent means lenient, or overly generous.Indulgent is a word that, here in Puritanical North America, is hard to know how to take. Is it okay to “indulge yourself” as so many spa advertisements suggest? Or is indulgent always associated with excess? You can indulge fantasies of figuring out the answer, or you can give in to an indulgent shrug and move on to another word.indulgent: indulgently, nonindulgent, overindulgent, self-indulgent/self-indulgent: self-indulgently    indulgent
patented   /ˈpætntɪd/          adj.专利的原型:patented 是 patent 的过去式和过去分词专利的 98%，动词patent的过去式和过去分词形式. 2%	patented  /ˈpætntɪd/       adj.专利的原型:patented 是 patent 的过去式和过去分词专利的 98%，动词patent的过去式和过去分词形式. 2%                                patented
cast-iron   /ˌkæst ˈaɪərn/          adj.铸铁的；坚固的；顽强的；严格的铸铁的 34%，坚固的 22%，顽强的 22%，严格的 22%	cast-iron  /ˌkæst ˈaɪərn/       adj.铸铁的；坚固的；顽强的；严格的铸铁的 34%，坚固的 22%，顽强的 22%，严格的 22%           That cast-iron pot is too heavy to carry.那个铸铁的锅太重，以至于不容易搬动。                     cast-iron
naysayer   /ˈneɪseɪər/          摇头族（指那些说某事成不了、经常否定、拒绝或者反对一些事情的人）否定者 67%，怀疑主义者 33%	"naysayer  /ˈneɪseɪər/       摇头族（指那些说某事成不了、经常否定、拒绝或者反对一些事情的人）否定者 67%，怀疑主义者 33%                       noun [ C ]uk/ˈneɪˌseɪ.ər/ us/ˈneɪˌseɪ.ɚ/ often disapproving  someone who says something is not possible, is not good, or will fail爱唱反调的人 He ignored the naysayers and persevered.       A naysayer is a person who always says ""No."" Naysayers are negative and cynical — they aren't much fun to be around.If you respond to every invitation with, ""No thanks — I wouldn't have fun anyway,"" and answer questions about how your day was with a list of complaints, you're a naysayer. It's your negative, pessimistic attitude that makes you a naysayer. In the 1600s a nay-say was a ""refusal,"" from the now less common use of nay to mean ""no.""naysayer: naysayers   naysayer"
idealist   /aɪˈdiːəlɪst/          n.空想家，理想主义者；唯心主义者adj.理想主义的；唯心主义的理想主义者 60%，唯心主义者 15%，理想主义的 13%，唯心主义的 12%词性：名词 81%, 形容词 19%	"idealist  /aɪˈdiːəlɪst/       n.空想家，理想主义者；唯心主义者adj.理想主义的；唯心主义的理想主义者 60%，唯心主义者 15%，理想主义的 13%，唯心主义的 12%词性：名词 81%, 形容词 19%           Before I got into politics I was an idealist, but now I'm a realist.在我从政之前，我是一个理想主义者，但现在我是一个现实主义者。            noun [ C ]uk/aɪˈdɪə.lɪst/ us/aɪˈdiː.ə.lɪst/   someone who believes that very good things can be achieved, often when this does not seem likely to others理想主义者       An idealist is someone who envisions an ideal world rather than the real one. Some people consider idealists to be naive, impractical, and out of touch with reality. Idealists think that striving for perfection makes the world a better place.The main root of idealist is ""ideal,"" which comes from the Latin word idea. As an idealist, you think everyone should act in the best interest of the group. Ideally, everyone would agree with you, but the unfortunate reality is that lots of people act solely in their own self-interest. Words that are related to idealist include ""idealize,"" ""idealism,"" and ""ideally.""idealist: idealists/idea: ideal, ideas, ideate/ideal: idealise, idealism, ideality, idealize, ideally, ideals/idealisation: idealisations/idealise: idealisation, idealised, idealises, idealising/idealism: idealisms, idealist, idealistic/idealistic: idealistically/ideality: idealities/idealization: idealizations/idealize: idealization, idealized, idealizes, idealizing/ideate: ideated, ideating, ideation/ideation: ideational, ideations/ideational: ideationally    idealist"
canvas   /ˈkænvəs/          n.帆布adj.帆布制的vt.用帆布覆盖，用帆布装备时态:canvassed, canvassing, canvases帆布 77%，油画 23%词性：名词 94%, 动词 6%	"canvas  /ˈkænvəs/       n.帆布adj.帆布制的vt.用帆布覆盖，用帆布装备时态:canvassed, canvassing, canvases帆布 77%，油画 23%词性：名词 94%, 动词 6%           The artist paints bright colors on a canvas.艺术家在画布上画出鲜艳的色彩。      来自拉丁词 cannabis, 大麻. 指用大麻纤维织的布.n.帆布;帆布画布,(帆布)油画Having canceled X-ray scan, the cancerous candidate on the canvas ate the idle candles in the candy can.取消X线扫描后,帆布上的癌症候选人吃了糖果罐里的闲置蜡烛.【例】She showed me her recent canvases.  她给我看了她近来的油画。 【类】canvas:painter＝marble:sculptor画家在画布上画画＝雕刻家在大理石上雕刻tripod:camera＝easel:canvas   三脚架支撑相机＝画架支撑画布      nounuk/ˈkæn.vəs/ us/ˈkæn.vəs/   [ U ] strong, rough cloth used for making tents, sails, bags, strong clothes, etc.帆布 [ C ] a piece of this cloth used by artists for painting on, usually with oil paints, or the painting itself油画布；油画 These two canvases by Hockney would sell for £1,500,000.这两幅霍克尼的油画能卖到150万英镑。under canvas in a tent在帐篷里 I love sleeping under canvas.我喜欢睡帐篷。       Canvas is a heavy, coarse fabric artists paint on. It's also used to make sails, shoes, tents, or comfy director's chairs. It's a full-service fabric!The noun canvas comes from the Latin cannabis by way of the Greek kannabis, meaning “hemp,"" which it was originally made of. It usually refers to the canvas we paint on, but you could carry a canvas bag while wearing canvas Converse high-tops. Henry David Thoreau, the poet and philosopher, said, “The world is but a canvas to our imaginations.” Don't confuse it with canvass, with the extra ""s"" — that's when people try to chat to get your vote.canvas: canvased, canvases, canvasing, canvasser, canvassing/canvasser: canvassers/canvassing: canvassings    canvas"
in-person             亲自；外貌上现场的 50%，亲身的 50%	in-person         亲自；外貌上现场的 50%，亲身的 50%                                in-person
inorganic   /ˌɪnɔːrˈɡænɪk/          adj.[无化] 无机的；无生物的无机的 89%，非自然生长的 11%	inorganic  /ˌɪnɔːrˈɡænɪk/       adj.[无化] 无机的；无生物的无机的 89%，非自然生长的 11%           Western medicine is often inorganic, whereas Chinese traditional medicine is herbal.西方医药一般是无机药物，而中国的传统医药是中草药。      in-, 不, 非, organic, 有机的.      adjectiveuk/ˌɪn.ɔːˈɡæn.ɪk/ us/ˌɪn.ɔːrˈɡæn.ɪk/ specialized  not being or consisting of living material, or (of chemical substances) containing no carbon or only small amounts of carbon无生物的；无机的 Salt is an inorganic chemical.盐是无机化学物质。 The meteorites contained only inorganic material.这些陨石只含有无机物。 Compareorganic          inorganic
marginalization   /ˌmɑːrdʒɪnələˈzeɪʃn/          n.边缘化；忽视；排斥排斥 67%，忽略 25%，使边缘化 8%	marginalization  /ˌmɑːrdʒɪnələˈzeɪʃn/       n.边缘化；忽视；排斥排斥 67%，忽略 25%，使边缘化 8%                                marginalization
self-regulation   /ˌself reɡjuˈleɪʃn/          n.自动调节自动调节 75%，自我控制 25%	self-regulation  /ˌself reɡjuˈleɪʃn/       n.自动调节自动调节 75%，自我控制 25%                       noun [ U ]uk/ˌself.reɡ.jəˈleɪ.ʃən/ us/ˌself.reɡ.jəˈleɪ.ʃən/   making certain yourself that you or your employees act according to the rules, rather than having this done by other people自我调节；自我调整 They favour the self-regulation of the industry, and strict codes of conduct have already been issued by the Advertising Association.他们倾向于行业的自我监管，而广告联合会已经颁布了严格的行为规范。          self-regulation
treasured   /ˈtreʒərd/          珍藏的（treasure的变体）重视的（treasure的变体 ）心爱的（treasure的变体）原型:treasured 是 treasure 的过去式和过去分词财富 48%，珍视 19%，宝物 18%，珍藏 15%	treasured  /ˈtreʒərd/       珍藏的（treasure的变体）重视的（treasure的变体 ）心爱的（treasure的变体）原型:treasured 是 treasure 的过去式和过去分词财富 48%，珍视 19%，宝物 18%，珍藏 15%                             Something that's treasured is cherished or prized—it's very important. If you're a baseball fan, your most treasured possession might be a baseball cap signed by Jackie Robinson.The adjective treasured comes from the noun treasure, and that's exactly what treasured objects and people are, things that we treasure or value highly. So while some of us might have treasured valuables (silver or jewels, for example), for others, our most treasured things may be our favorite books, a musical instrument, or a pet guinea pig.treasure: treasured, treasures, treasuring   treasured
importation   /ˌɪmpɔːrˈteɪʃn/          n.进口；输入品进口 100%	"importation  /ˌɪmpɔːrˈteɪʃn/       n.进口；输入品进口 100%                             Importation is what happens when goods are purchased from a foreign country to be sold at home. The importation of cars into the U.S. is what makes it possible for you to buy a Honda or a BMW.If two countries have a trade agreement, it means they've worked out a deal for importation and exportation. When lobster is shipped from Maine and sold in China, that's exportation, and when macarons are baked in Paris and sold in New York, that's U.S. importation. The noun importation comes from the verb import, which first meant ""convey information"" and then ""bring in goods from abroad,"" from the Latin portare, ""to carry.""importation: importations/import: importation, imported, importee, importer, importing, imports/importee: importees/importer: importers    importation"
amo             abbr.美国眼力健公司（Advanced Medical Optics）；编程对象模型（Analysis Management Object）	amo         abbr.美国眼力健公司（Advanced Medical Optics）；编程对象模型（Analysis Management Object）                                amo
undulating   /ˈʌndʒəleɪtɪŋ/          adj.波状的；波浪起伏的v.使波动（undulate的ing形式）；使成波浪形原型:undulating 是 undulate 的现在分词波状的 75%，动词undulate的现在分词形式. 25%	undulating  /ˈʌndʒəleɪtɪŋ/       adj.波状的；波浪起伏的v.使波动（undulate的ing形式）；使成波浪形原型:undulating 是 undulate 的现在分词波状的 75%，动词undulate的现在分词形式. 25%                                undulating
situ   /ˈsaɪtuː/           [医]原位	situ  /ˈsaɪtuː/        [医]原位                                situ
frond   /frɑːnd/          n.（蕨类等的）叶，复叶；叶状体叶状体 45%，藻体 33%，蕨叶 22%	frond  /frɑːnd/       n.（蕨类等的）叶，复叶；叶状体叶状体 45%，藻体 33%，蕨叶 22%           The palm frond has many thin leaves.棕榈叶有许多薄叶。      →记1: frond 音“弗 round”→蕨类的叶子不是圆的 →记2: frond→front(n. 前面)→摆在面前的棕榈叶 词源同 front, 前面的, 向前的. 用来指蕨叶.【记】frond是长在fern front（n.前面）的 【类】frond:fern＝needle:pine复叶是厥类植物的叶子＝针叶是松树的叶子frond:leaf＝boulder:rock   厥类的叶是一种叶子＝大圆石是一种石头      noun [ C ]uk/frɒnd/ us/frɑːnd/ specialized  a long, thin leaf of a plant窄长的叶子 Ferns and palms have fronds.蕨类植物和棕榈树都长有窄长的叶子。       A compound leaf — that is, a leaf with many fine and deep divisions — is a frond, such as on ferns and palm trees.Although commonly referring to the leafy part of a fern or palm, the noun frond can also refer to anything that has a similar shape to a palm frond or fern frond. If your bedhead is really bad, people may joke about your combing your fronds. In parts of the United States and Canada, you may eat the fronds of fiddlehead ferns, which are cooked and served as a vegetable.frond: fronds   frond
